종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"009140","경인전자","KOSPI",,"21050","-500","-2.32","21550","21550","21050","5686","120775300","33065276850","1570797"
"024910","경창산업","KOSDAQ","우량기업부","2365","0","0.00","2365","2390","2220","46594","108856015","84711946825","35819005"
"013580","계룡건설","KOSPI",,"14210","270","1.94","14040","14370","13990","28965","410600520","126908188470","8930907"
"012200","계양전기","KOSPI",,"1937","2","0.10","1935","1944","1930","34961","67645123","52730619773","27222829"
"012205","계양전기우","KOSPI",,"3950","-60","-1.50","3980","3980","3890","1421","5576660","4617862050","1169079"
"002140","고려산업","KOSPI",,"3185","60","1.92","3125","3195","3110","69337","219824705","79432068625","24939425"
"198440","고려시멘트","KOSDAQ","중견기업부","1611","11","0.69","1600","1617","1593","28216","45423983","51519715560","31979960"
"049720","고려신용정보","KOSDAQ","우량기업부","9230","60","0.65","9170","9230","9110","60922","558548950","131989000000","14300000"
"010130","고려아연","KOSPI",,"496500","8000","1.64","488500","499000","488000","32784","16231358500","10381113942000","20908588"
"002240","고려제강","KOSPI",,"19320","330","1.74","19100","19350","18990","15776","303648410","483000000000","25000000"
"014570","고려제약","KOSDAQ","우량기업부","6870","10","0.15","6920","7000","6790","15146","104152220","75570000000","11000000"
"348150","고바이오랩","KOSDAQ","기술성장기업부","8700","-170","-1.92","9100","9500","8700","882708","8010614910","164188209600","18872208"
"950190","고스트스튜디오","KOSDAQ","외국기업(소속부없음)","10800","150","1.41","10680","10840","10550","14691","157432310","146662833600","13579892"
"098460","고영","KOSDAQ GLOBAL","우량기업부","12050","30","0.25","12000","12140","11970","230350","2780945220","827289797750","68654755"
"035290","골드앤에스","KOSDAQ","중견기업부","713","12","1.71","701","723","693","216588","153580649","33119252132","46450564"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)","99","1","1.02","98","99","97","964500","94635292","20335024512","205404288"
"215000","골프존","KOSDAQ GLOBAL","우량기업부","92000","900","0.99","91900","92400","90600","8562","783408000","577338180000","6275415"
"121440","골프존뉴딘홀딩스","KOSDAQ","우량기업부","3960","120","3.13","3895","3975","3850","59123","231735605","169633799280","42836818"
"183410","골프존데카","KONEX","일반기업부","1099","0","0.00","1099","1099","1099","5","5495","4518165939","4111161"
"366030","공구우먼","KOSDAQ","벤처기업부","6210","50","0.81","6100","6280","6080","65304","404960320","140459953500","22618350"
"076340","관악산업","KONEX","일반기업부","5990","390","6.96","5990","5990","5990","1","5990","29180045400","4871460"
"009290","광동제약","KOSPI",,"7070","-20","-0.28","7130","7190","7070","300668","2136687600","370615416570","52420851"
"014200","광림","KOSDAQ","관리종목(소속부없음)","1006","0","0.00","0","0","0","0","0","91250936176","90706696"
"017040","광명전기","KOSPI",,"2250","10","0.45","2250","2275","2230","96244","217164585","97509633750","43337615"
"029480","광무","KOSDAQ","중견기업부","2100","70","3.45","2030","2110","2020","137360","286963880","100564571100","47887891"
"017900","광전자","KOSPI",,"2120","10","0.47","2120","2135","2090","90287","190742595","122840777560","57943763"
"037710","광주신세계","KOSPI",,"30950","0","0.00","31000","31150","30900","4020","124540050","246275030500","7957190"
"026910","광진실업","KOSDAQ","중견기업부","3805","60","1.60","3770","3825","3740","4162","15690375","24372566025","6405405"
